iter	MAE
0	1833413.621
1	1801421.237
2	1773176.544
3	1744001.964
4	1713783.517
5	1685321.012
6	1660760.742
7	1635154.228
8	1613663.205
9	1588673.846
10	1564404.8
11	1542263.203
12	1519696.305
13	1497782.672
14	1475676.804
15	1455961.447
16	1438980.481
17	1420156.075
18	1400068.362
19	1381751.026
20	1365502.796
21	1350186.45
22	1334609.889
23	1317194.834
24	1302635.827
25	1289648.981
26	1274944.435
27	1260010.445
28	1244296.345
29	1229817.515
30	1216795.355
31	1203044.15
32	1189165.846
33	1178831.857
34	1167358.521
35	1159401.178
36	1146414.318
37	1136780.299
38	1126478.822
39	1117744.842
40	1106003.628
41	1095009.321
42	1086367.966
43	1076500.452
44	1069491.599
45	1063463.746
46	1053766.103
47	1044693.354
48	1038604.763
49	1030083.107
50	1022912.435
51	1014182.508
52	1006842.062
53	999703.3809
54	995043.3547
55	987557.7084
56	982034.4776
57	977288.4353
58	970443.3394
59	964678.4633
60	958487.7691
61	954035.8509
62	949012.8121
63	943081.8358
64	938301.6534
65	934155.3437
66	928431.2585
67	922092.5791
68	917407.2176
69	911609.9028
70	907147.7893
71	903034.294
72	897703.419
73	893650.3195
74	889846.7604
75	885878.7026
76	881231.9426
77	878067.1803
78	875193.0494
79	871809.5147
80	868609.8816
81	866206.4437
82	863985.3009
83	860932.2919
84	856926.3088
85	853325.2335
86	851015.6586
87	847728.775
88	845133.3547
89	842766.2172
90	841020.7194
91	837612.8444
92	834719.0717
93	832223.4327
94	829682.5837
95	827857.4537
96	825896.4296
97	822814.9902
98	821269.8011
99	818925.5734
100	816286.3182
101	813548.2923
102	810679.4447
103	808944.8932
104	806378.7547
105	804576.8427
106	803283.4397
107	801268.7362
108	798962.2665
109	797791.6022
110	795556.7368
111	793848.5873
112	791005.7343
113	789281.3288
114	787402.8168
115	785392.3375
116	783544.7059
117	781924.7124
118	779883.5445
119	777515.7594
120	776164.132
121	774954.4778
122	773732.3658
123	771811.0199
124	770231.9755
125	769171.3799
126	767888.8019
127	765683.3469
128	764497.7612
129	762826.6434
130	761219.4446
131	759619.8979
132	758722.0924
133	757257.0259
134	755730.4625
135	754594.3946
136	752975.6067
137	752114.3364
138	751029.2288
139	749546.4705
140	748176.9739
141	747210.4906
142	746141.7549
143	744253.8344
144	743118.4981
145	742109.0872
146	741199.3274
147	740093.8871
148	738969.9732
149	738152.003
150	737848.8074
151	736567.4971
152	735738.4806
153	734810.2867
154	733986.8411
155	733020.2904
156	732560.1969
157	731507.6237
158	730895.7455
159	729719.7887
160	728856.1334
161	728104.2517
162	727384.6862
163	726375.4405
164	725253.6866
165	724813.2749
166	723779.9191
167	722898.6484
168	721790.6838
169	721081.3437
170	720197.8876
171	719105.7448
172	718392.7426
173	717250.5873
174	716072.1117
175	715534.9416
176	714771.775
177	713945.8927
178	713145.4754
179	712144.2606
180	711594.2099
181	711145.9776
182	710567.6097
183	709897.3472
184	708910.4483
185	708203.9265
186	707405.4133
187	706501.0427
188	706220.3142
189	705516.5264
190	704855.9011
191	704357.7512
192	703891.1128
193	703330.5905
194	702393.9552
195	702071.1458
196	701258.7545
197	700347.3391
198	699576.1681
199	699196.7081
200	698882.8718
201	698372.9772
202	697439.3293
203	696869.9259
204	696554.9478
205	696142.2306
206	695502.2557
207	694898.9238
208	694419.8363
209	693980.4746
210	693418.8884
211	692934.8919
212	692127.2357
213	691574.9694
214	691120.2509
215	690841.1064
216	690550.997
217	690059.5684
218	689738.3495
219	689513.3454
220	688856.8295
221	688608.4346
222	687727.0252
223	687283.6598
224	686331.3975
225	686056.068
226	685444.232
227	684678.5582
228	684488.2491
229	684097.9894
230	683874.1188
231	683505.2238
232	683203.103
233	682750.5774
234	682407.7822
235	682066.9325
236	681894.398
237	681314.8172
238	680862.409
239	680506.3228
240	680235.6649
241	680018.9468
242	679626.9134
243	678981.3513
244	678521.8914
245	678379.4117
246	677862.0913
247	677560.4847
248	677295.0955
249	676746.5729
250	676552.874
251	676225.1295
252	676039.1329
