iter	Passed	Remaining
0	97	77870
1	201	80572
2	305	81262
3	396	78914
4	509	80982
5	669	88562
6	819	92831
7	928	91946
8	1063	93445
9	1168	92289
10	1276	91580
11	1387	91092
12	1490	90204
13	1602	89955
14	1700	88999
15	1804	88398
16	1896	87367
17	1994	86657
18	2102	86427
19	2203	85936
20	2332	86510
21	2449	86611
22	2548	86088
23	2655	85858
24	2759	85540
25	2861	85185
26	2968	84983
27	3065	84521
28	3169	84273
29	3276	84102
30	3380	83869
31	3487	83703
32	3592	83498
33	3739	84253
34	3870	84599
35	4007	85047
36	4117	84918
37	4251	85257
38	4377	85411
39	4589	87194
40	4734	87642
41	4836	87287
42	4933	86853
43	5048	86747
44	5137	86198
45	5229	85720
46	5340	85555
47	5436	85165
48	5540	84918
49	5641	84618
50	5734	84212
51	5835	83947
52	5922	83469
53	6013	83076
54	6116	82851
55	6214	82564
56	6317	82348
57	6416	82087
58	6505	81701
59	6622	81681
60	6738	81639
61	6861	81679
62	6972	81569
63	7079	81411
64	7189	81299
65	7296	81146
66	7413	81106
67	7562	81405
68	7857	83246
69	8073	84190
70	8160	83790
71	8271	83632
72	8357	83233
73	8455	82950
74	8565	82804
75	8661	82515
76	8763	82288
77	8854	81963
78	8935	81546
79	9026	81241
80	9135	81092
81	9273	81196
82	9382	81052
83	9474	80760
84	9643	81115
85	9763	81055
86	9892	81069
87	10003	80933
88	10106	80736
89	10230	80710
90	10336	80530
91	10445	80383
92	10545	80171
93	10647	79967
94	10750	79781
95	10856	79615
96	10977	79558
97	11075	79337
98	11190	79237
99	11283	78985
100	11395	78862
101	11510	78771
102	11610	78568
103	11727	78482
104	11824	78268
105	11936	78149
106	12057	78091
107	12160	77918
108	12272	77803
109	12364	77560
110	12471	77415
111	12592	77354
112	12734	77419
113	12859	77381
114	12980	77317
115	13115	77338
116	13224	77200
117	13349	77153
118	13453	76989
119	13583	76972
120	13698	76870
121	13801	76701
122	13918	76607
123	14020	76431
124	14138	76347
125	14248	76216
126	14387	76242
127	14502	76137
128	14620	76048
129	14722	75876
130	14820	75684
131	14931	75561
132	15033	75392
133	15140	75252
134	15253	75135
135	15349	74943
136	15455	74794
137	15561	74650
138	15679	74561
139	15794	74460
140	15897	74300
141	16010	74188
142	16132	74116
143	16145	73549
144	16307	73663
145	16435	73623
146	16561	73568
147	16664	73412
148	16776	73298
149	16886	73174
150	17007	73100
151	17136	73054
152	17234	72878
153	17344	72756
154	17440	72573
